species,location,season,temperature_c,humidity_pct,soil_moisture_pct,days_since_watered,missed_waterings,light_hours_daily,pot_has_drainage,health_score,health_label,recommended_water_days
Peace Lily,Indoor - Medium Light,Rainy Season,19.3,63.5,82.5,25.7,1,6.7,1,59.4,Needs Attention,7
Fiddle Leaf Fig,Indoor - Low Light,Dry Season,27.6,48.1,68.3,19.9,5,5.1,0,30.9,At Risk,5
Peace Lily,Outdoor - Shade,Dry Season,35.8,54.2,45.9,2.3,5,9.4,1,72.8,Needs Attention,3
Pothos,Outdoor - Full Sun,Dry Season,21.8,31.6,91.1,24.6,7,9.2,1,2.9,At Risk,5
Rubber Plant,Indoor - Medium Light,Rainy Season,29.6,37.1,18.8,5.5,5,11.5,1,54.6,Needs Attention,9
Monstera,Indoor - Low Light,Dry Season,25.0,63.8,27.4,0.8,2,4.6,1,89.2,Healthy,5
Bamboo Palm,Outdoor - Full Sun,Rainy Season,22.1,47.9,12.6,3.9,0,9.6,1,81.2,Healthy,7
Fiddle Leaf Fig,Outdoor - Full Sun,Rainy Season,30.4,75.8,70.3,25.0,3,8.7,1,28.7,At Risk,9
Pothos,Indoor - Low Light,Dry Season,37.2,27.2,58.0,5.0,5,9.7,1,73.0,Needs Attention,5
Cactus,Indoor - Bright Light,Rainy Season,28.0,84.3,14.7,19.4,5,11.0,1,37.4,At Risk,23
Cactus,Indoor - Bright Light,Rainy Season,27.0,51.4,98.4,8.8,6,11.1,0,34.5,At Risk,23
Philodendron,Indoor - Medium Light,Dry Season,30.3,39.5,54.6,20.5,7,8.8,1,40.8,At Risk,5
Rubber Plant,Indoor - Low Light,Rainy Season,26.5,76.7,14.1,3.9,2,9.3,1,57.9,Needs Attention,9
Rubber Plant,Indoor - Medium Light,Rainy Season,22.6,39.2,5.5,0.5,4,2.4,1,21.7,At Risk,9
Rubber Plant,Indoor - Low Light,Dry Season,21.7,25.4,46.7,20.6,1,8.9,1,44.6,At Risk,5
Orchid,Outdoor - Full Sun,Dry Season,22.4,30.1,57.3,3.0,7,11.4,0,46.1,At Risk,5
Pothos,Outdoor - Shade,Rainy Season,35.5,42.6,0.4,4.9,0,4.6,1,79.9,Healthy,9
Boston Fern,Indoor - Bright Light,Dry Season,35.4,36.3,4.6,17.4,1,4.7,1,11.0,At Risk,1
Monstera,Outdoor - Shade,Rainy Season,33.9,33.8,97.7,28.9,7,9.3,1,27.2,At Risk,9
Rubber Plant,Indoor - Medium Light,Rainy Season,37.6,65.9,41.6,5.0,3,3.4,0,82.9,Healthy,9
Orchid,Outdoor - Shade,Dry Season,36.6,57.3,84.3,13.4,3,8.1,1,26.8,At Risk,5
Peace Lily,Indoor - Medium Light,Dry Season,34.3,53.1,79.6,17.9,1,10.1,1,71.2,Needs Attention,3
Spider Plant,Outdoor - Shade,Rainy Season,30.9,43.0,45.0,10.4,4,5.2,1,88.1,Healthy,9
Philodendron,Indoor - Bright Light,Dry Season,36.9,66.1,43.5,15.8,1,2.1,1,45.0,At Risk,5
ZZ Plant,Indoor - Medium Light,Rainy Season,22.2,40.4,62.8,24.9,1,8.0,1,83.9,Healthy,16
Monstera,Indoor - Medium Light,Rainy Season,32.0,58.0,44.2,3.9,1,11.2,1,94.9,Healthy,9
Aloe Vera,Indoor - Medium Light,Dry Season,32.4,65.2,8.2,6.5,1,11.1,1,55.0,Needs Attention,12
ZZ Plant,Indoor - Medium Light,Dry Season,30.5,54.0,77.8,6.6,6,6.7,1,42.7,At Risk,12
Peace Lily,Indoor - Bright Light,Dry Season,18.6,80.6,35.9,18.9,2,3.1,1,68.2,Needs Attention,7
Boston Fern,Outdoor - Shade,Dry Season,26.3,31.5,50.9,0.7,7,11.9,1,49.5,At Risk,1
Dracaena,Outdoor - Full Sun,Dry Season,30.7,27.7,20.7,27.8,7,10.8,1,34.7,At Risk,8
Cactus,Outdoor - Full Sun,Dry Season,31.0,73.2,3.2,3.6,5,5.1,1,18.5,At Risk,19
Monstera,Indoor - Bright Light,Rainy Season,20.8,58.8,3.7,2.4,0,11.1,0,58.9,Needs Attention,9
Fiddle Leaf Fig,Outdoor - Full Sun,Dry Season,36.8,36.9,56.7,11.3,6,7.8,1,44.1,At Risk,5
Snake Plant,Indoor - Low Light,Dry Season,36.6,68.3,82.3,0.4,4,11.0,1,40.0,At Risk,12
Rubber Plant,Indoor - Low Light,Dry Season,31.0,36.2,87.2,18.4,0,2.8,1,62.8,Needs Attention,5
Rubber Plant,Indoor - Bright Light,Rainy Season,37.6,57.6,45.5,22.6,7,7.2,1,0.0,At Risk,9
Philodendron,Outdoor - Shade,Dry Season,20.0,26.0,61.6,28.8,7,9.9,1,8.4,At Risk,5
Aloe Vera,Indoor - Medium Light,Dry Season,25.7,52.2,4.5,8.7,2,3.6,1,59.4,Needs Attention,12
Pothos,Indoor - Low Light,Dry Season,37.0,59.8,39.4,25.4,6,5.4,1,19.8,At Risk,5
Bamboo Palm,Indoor - Low Light,Dry Season,22.8,76.6,48.6,10.0,3,11.8,1,51.7,Needs Attention,7
ZZ Plant,Indoor - Bright Light,Rainy Season,23.8,30.3,29.8,20.2,2,5.8,1,92.7,Healthy,16
Aloe Vera,Indoor - Bright Light,Rainy Season,32.6,30.0,66.4,7.1,3,9.8,1,90.5,Healthy,16
Philodendron,Outdoor - Full Sun,Rainy Season,34.4,69.4,18.4,24.6,6,5.2,1,53.5,Needs Attention,9
Aloe Vera,Outdoor - Shade,Rainy Season,20.5,33.0,58.3,22.0,2,11.2,1,71.2,Needs Attention,16
Peace Lily,Outdoor - Full Sun,Rainy Season,18.1,90.0,80.2,23.6,3,9.3,0,28.9,At Risk,7
Bamboo Palm,Indoor - Medium Light,Dry Season,19.5,26.2,10.2,12.3,1,3.1,1,48.7,At Risk,3
Snake Plant,Indoor - Medium Light,Rainy Season,27.7,65.6,94.6,17.4,3,3.7,1,89.6,Healthy,16
Boston Fern,Indoor - Low Light,Dry Season,32.9,89.7,66.6,14.8,3,5.0,1,51.3,Needs Attention,5
Monstera,Outdoor - Full Sun,Rainy Season,24.1,54.9,27.9,11.1,6,7.1,1,32.7,At Risk,9
Bamboo Palm,Indoor - Medium Light,Rainy Season,32.5,58.0,49.9,3.3,5,2.2,1,70.5,Needs Attention,7
Snake Plant,Outdoor - Full Sun,Rainy Season,30.9,75.9,93.7,20.8,5,3.4,1,86.1,Healthy,16
Boston Fern,Outdoor - Shade,Rainy Season,32.1,51.2,92.0,19.5,2,9.7,1,64.9,Needs Attention,5
Fiddle Leaf Fig,Outdoor - Full Sun,Dry Season,26.0,47.8,77.3,24.1,5,7.2,1,52.7,Needs Attention,5
Aloe Vera,Outdoor - Shade,Dry Season,25.3,31.9,62.8,3.6,3,2.7,1,87.1,Healthy,12
Orchid,Indoor - Medium Light,Rainy Season,34.9,66.9,65.1,26.0,6,8.7,1,38.9,At Risk,9
Rubber Plant,Indoor - Bright Light,Rainy Season,21.4,37.2,1.1,2.7,0,6.6,0,85.4,Healthy,9
Philodendron,Outdoor - Shade,Dry Season,31.5,89.4,88.3,14.2,5,3.6,1,0.0,At Risk,9
Boston Fern,Indoor - Bright Light,Rainy Season,36.0,86.2,67.1,19.9,4,7.5,1,28.1,At Risk,5
Aloe Vera,Outdoor - Full Sun,Dry Season,28.2,29.1,38.4,13.3,7,10.7,1,61.1,Needs Attention,12
Snake Plant,Indoor - Low Light,Rainy Season,32.9,87.7,71.8,29.8,1,10.8,1,85.9,Healthy,16
Aloe Vera,Indoor - Bright Light,Dry Season,33.6,49.9,44.3,11.3,7,5.6,1,58.8,Needs Attention,12
Pothos,Outdoor - Shade,Rainy Season,23.4,43.0,93.3,21.7,4,5.1,0,19.6,At Risk,9
Aloe Vera,Indoor - Medium Light,Dry Season,37.0,51.6,46.7,1.6,0,11.8,1,87.2,Healthy,12
Dracaena,Indoor - Low Light,Rainy Season,33.2,83.5,66.5,3.2,3,8.5,1,88.1,Healthy,12
Boston Fern,Indoor - Low Light,Rainy Season,32.2,25.5,51.8,1.1,6,9.8,1,46.7,At Risk,5
Snake Plant,Outdoor - Full Sun,Dry Season,31.5,29.2,46.6,7.2,4,8.3,1,79.5,Healthy,12
Pothos,Outdoor - Shade,Rainy Season,31.3,47.0,93.6,27.4,2,7.3,1,64.3,Needs Attention,9
Cactus,Indoor - Bright Light,Rainy Season,30.0,59.5,2.8,7.4,6,9.3,1,4.8,At Risk,23
Aloe Vera,Indoor - Low Light,Rainy Season,33.0,70.1,99.1,8.3,5,10.5,1,77.7,Healthy,16
Bamboo Palm,Indoor - Low Light,Rainy Season,35.6,38.2,87.3,1.8,2,7.2,0,41.2,At Risk,7
Philodendron,Indoor - Low Light,Dry Season,26.5,50.1,91.5,22.9,7,4.7,1,34.1,At Risk,5
Rubber Plant,Outdoor - Full Sun,Rainy Season,25.7,76.0,49.3,5.4,6,11.4,1,77.3,Healthy,9
Monstera,Indoor - Low Light,Rainy Season,20.5,59.4,26.9,0.6,2,8.6,0,100.0,Healthy,9
Snake Plant,Indoor - Bright Light,Rainy Season,27.7,29.1,55.2,25.2,6,2.9,0,26.8,At Risk,16
Boston Fern,Outdoor - Shade,Rainy Season,37.6,69.9,88.3,28.4,2,10.1,0,29.2,At Risk,5
ZZ Plant,Indoor - Medium Light,Dry Season,31.0,88.0,71.4,27.7,4,8.2,1,11.3,At Risk,16
Philodendron,Indoor - Medium Light,Rainy Season,25.7,52.6,71.5,18.1,1,9.1,1,62.7,Needs Attention,9
Spider Plant,Indoor - Low Light,Dry Season,22.4,75.7,20.1,2.4,1,10.4,0,97.8,Healthy,9
Bamboo Palm,Indoor - Bright Light,Rainy Season,36.5,38.4,87.4,0.9,2,7.1,1,31.6,At Risk,7
Boston Fern,Indoor - Medium Light,Dry Season,30.5,55.7,96.0,20.3,4,12.0,0,2.2,At Risk,1
Bamboo Palm,Indoor - Bright Light,Dry Season,32.3,65.5,97.1,16.8,4,4.7,1,47.0,At Risk,3
Snake Plant,Indoor - Medium Light,Rainy Season,33.0,45.6,48.4,8.8,2,9.6,1,88.1,Healthy,16
ZZ Plant,Outdoor - Full Sun,Rainy Season,25.1,70.3,56.0,11.6,0,9.5,1,97.2,Healthy,16
Aloe Vera,Outdoor - Shade,Dry Season,19.6,70.9,92.0,8.1,3,11.3,1,71.6,Needs Attention,12
Pothos,Indoor - Bright Light,Dry Season,19.0,37.4,79.1,13.6,7,9.0,1,11.2,At Risk,5
Orchid,Outdoor - Shade,Rainy Season,36.4,62.8,53.3,17.9,3,4.1,1,41.0,At Risk,9
ZZ Plant,Indoor - Bright Light,Rainy Season,30.1,28.7,67.3,15.9,0,4.0,1,100.0,Healthy,16
Peace Lily,Outdoor - Full Sun,Rainy Season,27.7,60.2,81.8,5.2,3,2.7,1,91.6,Healthy,7
Philodendron,Indoor - Low Light,Dry Season,28.5,66.6,33.8,27.2,6,4.6,1,12.7,At Risk,5
Fiddle Leaf Fig,Indoor - Bright Light,Rainy Season,23.4,51.7,89.9,26.9,6,10.9,1,39.8,At Risk,9
Spider Plant,Indoor - Medium Light,Dry Season,23.0,45.8,13.5,8.9,1,5.6,1,52.3,Needs Attention,5
Spider Plant,Outdoor - Shade,Rainy Season,25.9,76.5,27.9,19.4,3,4.5,0,56.8,Needs Attention,9
Cactus,Indoor - Medium Light,Rainy Season,23.2,81.9,75.2,0.5,4,8.9,0,51.0,Needs Attention,23
Spider Plant,Indoor - Medium Light,Dry Season,34.1,52.0,28.4,8.5,1,9.4,1,86.5,Healthy,5
ZZ Plant,Outdoor - Shade,Dry Season,24.1,54.9,81.8,27.9,4,4.4,1,33.7,At Risk,12
Snake Plant,Outdoor - Shade,Rainy Season,35.1,52.0,8.9,13.1,6,6.7,1,0.0,At Risk,16
Fiddle Leaf Fig,Outdoor - Full Sun,Dry Season,37.2,77.5,46.0,6.7,0,6.2,0,82.6,Healthy,9
Bamboo Palm,Indoor - Medium Light,Dry Season,22.8,86.0,17.1,3.4,3,8.4,1,44.7,At Risk,7
Peace Lily,Indoor - Low Light,Dry Season,23.7,61.3,30.4,2.6,6,11.6,0,81.6,Healthy,3
Snake Plant,Indoor - Low Light,Rainy Season,19.3,63.9,60.2,1.9,1,9.9,1,96.3,Healthy,16
Cactus,Outdoor - Shade,Rainy Season,28.2,77.4,5.0,18.1,2,4.9,1,55.9,Needs Attention,23
Cactus,Indoor - Medium Light,Dry Season,27.6,57.7,31.6,21.9,1,9.8,1,75.2,Healthy,19
Spider Plant,Indoor - Low Light,Dry Season,24.3,55.4,28.6,28.8,7,3.9,0,27.3,At Risk,5
Peace Lily,Outdoor - Full Sun,Dry Season,33.8,78.2,95.8,24.7,4,5.2,1,54.9,Needs Attention,7
Spider Plant,Outdoor - Shade,Rainy Season,36.7,63.8,80.9,24.0,1,11.8,1,60.8,Needs Attention,9
Cactus,Outdoor - Shade,Dry Season,26.1,85.6,8.9,15.3,7,11.4,1,32.4,At Risk,23
Spider Plant,Outdoor - Full Sun,Rainy Season,21.3,32.9,8.5,27.3,2,10.4,1,64.9,Needs Attention,9
Spider Plant,Indoor - Medium Light,Dry Season,36.6,84.0,78.1,0.6,6,7.1,1,32.1,At Risk,9
Philodendron,Indoor - Medium Light,Rainy Season,28.6,44.7,39.3,5.4,7,3.5,1,72.4,Needs Attention,9
Philodendron,Outdoor - Full Sun,Rainy Season,24.8,80.6,43.5,5.8,7,6.9,1,91.0,Healthy,9
Philodendron,Indoor - Bright Light,Rainy Season,22.1,48.3,14.9,15.3,4,7.1,1,24.4,At Risk,9
Pothos,Indoor - Medium Light,Rainy Season,18.1,45.8,42.2,6.9,2,10.6,1,86.5,Healthy,9
Spider Plant,Indoor - Low Light,Rainy Season,35.0,56.4,41.6,29.3,2,11.3,1,52.7,Needs Attention,9
Orchid,Outdoor - Shade,Rainy Season,19.0,38.7,56.6,18.5,4,8.6,1,28.7,At Risk,9
Cactus,Indoor - Bright Light,Rainy Season,37.0,55.9,31.7,23.0,1,9.6,1,92.8,Healthy,23
Spider Plant,Indoor - Low Light,Dry Season,35.6,34.6,71.1,29.2,7,9.5,1,11.2,At Risk,5
Philodendron,Indoor - Bright Light,Dry Season,28.6,51.0,95.4,19.3,6,6.2,1,0.0,At Risk,5
Philodendron,Outdoor - Shade,Rainy Season,30.0,28.9,41.3,16.4,2,3.7,1,68.7,Needs Attention,9
Pothos,Indoor - Low Light,Rainy Season,24.5,55.7,87.7,1.2,7,3.6,0,43.2,At Risk,9
Fiddle Leaf Fig,Outdoor - Shade,Rainy Season,26.1,54.6,70.6,24.6,0,2.4,0,50.5,Needs Attention,9
Monstera,Outdoor - Shade,Rainy Season,22.2,41.3,80.6,8.4,1,9.1,0,72.8,Needs Attention,9
Boston Fern,Indoor - Bright Light,Rainy Season,33.0,60.8,81.7,28.8,0,9.0,1,91.5,Healthy,5
Bamboo Palm,Outdoor - Shade,Dry Season,34.7,42.2,44.9,16.1,3,4.7,1,36.3,At Risk,3
Philodendron,Indoor - Low Light,Dry Season,32.6,26.3,20.5,14.6,7,10.3,1,18.9,At Risk,5
Dracaena,Indoor - Low Light,Rainy Season,36.2,86.3,52.0,20.3,5,8.3,1,44.0,At Risk,12
Cactus,Indoor - Bright Light,Dry Season,25.3,53.1,62.3,2.2,1,10.1,0,74.4,Needs Attention,19
Spider Plant,Outdoor - Full Sun,Rainy Season,24.0,27.1,59.0,15.7,5,5.1,0,49.4,At Risk,9
Orchid,Indoor - Low Light,Dry Season,18.9,45.1,32.0,25.2,6,4.4,1,41.8,At Risk,5
Philodendron,Indoor - Medium Light,Dry Season,22.9,82.3,41.6,21.6,6,3.1,1,36.4,At Risk,9
Philodendron,Indoor - Low Light,Dry Season,31.9,62.2,90.7,3.7,3,9.8,1,86.5,Healthy,5
Snake Plant,Indoor - Medium Light,Rainy Season,29.1,59.3,76.4,0.2,2,10.7,1,66.2,Needs Attention,16
Peace Lily,Indoor - Bright Light,Dry Season,27.4,62.2,4.6,18.7,6,9.5,1,14.6,At Risk,3
Dracaena,Indoor - Bright Light,Dry Season,24.4,72.5,28.8,22.1,5,6.1,1,18.8,At Risk,8
Aloe Vera,Indoor - Bright Light,Rainy Season,33.1,42.9,90.5,24.5,2,5.8,1,75.5,Healthy,16
Pothos,Outdoor - Shade,Rainy Season,20.7,45.5,48.5,14.3,2,7.9,1,51.2,Needs Attention,9
Peace Lily,Indoor - Bright Light,Dry Season,33.1,74.2,81.0,26.6,3,3.3,1,19.2,At Risk,3
Dracaena,Indoor - Low Light,Dry Season,23.9,56.9,43.9,22.8,3,9.9,1,53.2,Needs Attention,8
Fiddle Leaf Fig,Indoor - Low Light,Rainy Season,20.1,32.0,10.1,0.3,6,11.5,1,53.7,Needs Attention,9
Pothos,Outdoor - Full Sun,Dry Season,18.9,60.4,33.9,14.2,2,9.0,0,36.1,At Risk,5
ZZ Plant,Outdoor - Shade,Rainy Season,31.9,78.7,5.6,14.4,6,3.6,1,0.7,At Risk,16
Cactus,Indoor - Bright Light,Rainy Season,23.1,88.8,98.3,27.7,0,4.6,0,82.0,Healthy,23
Aloe Vera,Outdoor - Full Sun,Dry Season,19.0,54.1,44.6,26.9,1,11.6,1,67.4,Needs Attention,12
Pothos,Indoor - Low Light,Dry Season,31.2,28.3,10.5,26.4,4,4.1,1,29.4,At Risk,5
Pothos,Outdoor - Shade,Dry Season,37.2,60.6,6.4,19.3,1,11.8,0,42.1,At Risk,5
Pothos,Indoor - Low Light,Rainy Season,19.4,41.7,71.4,14.4,0,2.3,1,71.6,Needs Attention,9
ZZ Plant,Outdoor - Shade,Rainy Season,31.4,88.2,60.7,3.6,7,11.5,1,80.5,Healthy,16
Dracaena,Indoor - Bright Light,Dry Season,32.9,68.0,23.6,2.9,6,4.2,1,64.6,Needs Attention,8
Monstera,Outdoor - Full Sun,Rainy Season,37.9,75.9,92.2,5.9,0,7.3,1,100.0,Healthy,9
Dracaena,Indoor - Bright Light,Dry Season,30.4,68.9,77.7,16.7,5,2.4,1,16.0,At Risk,8
Cactus,Indoor - Low Light,Dry Season,32.3,70.9,23.4,8.1,3,7.4,1,87.6,Healthy,19
Bamboo Palm,Indoor - Bright Light,Dry Season,20.1,70.1,51.9,8.9,5,8.0,0,37.1,At Risk,3
Peace Lily,Indoor - Low Light,Dry Season,26.6,36.4,98.7,16.8,1,8.2,1,45.0,At Risk,3
Dracaena,Outdoor - Shade,Dry Season,19.2,35.6,89.5,20.6,0,5.0,1,76.5,Healthy,8
Boston Fern,Outdoor - Shade,Dry Season,31.4,88.1,17.6,17.9,1,6.3,1,53.5,Needs Attention,5
Pothos,Outdoor - Shade,Rainy Season,32.3,37.8,69.0,11.7,4,3.5,1,42.7,At Risk,9
Cactus,Indoor - Medium Light,Rainy Season,32.1,39.0,18.3,12.9,2,2.2,1,69.7,Needs Attention,23
Cactus,Indoor - Medium Light,Rainy Season,27.0,74.0,95.6,23.2,6,7.6,1,70.4,Needs Attention,23
Boston Fern,Outdoor - Full Sun,Rainy Season,26.7,42.4,60.4,26.1,6,4.9,1,4.3,At Risk,5
Orchid,Indoor - Low Light,Dry Season,35.4,79.2,83.3,20.9,0,10.2,0,26.1,At Risk,9
Cactus,Indoor - Low Light,Dry Season,18.2,31.2,5.4,21.8,2,7.0,1,44.8,At Risk,19
Aloe Vera,Outdoor - Full Sun,Dry Season,21.4,42.7,21.3,18.1,0,10.5,1,91.6,Healthy,12
Snake Plant,Outdoor - Full Sun,Dry Season,23.5,76.5,22.5,20.4,6,5.3,1,53.6,Needs Attention,16
Dracaena,Outdoor - Shade,Rainy Season,22.8,76.2,5.6,11.1,0,8.6,1,57.6,Needs Attention,12
Snake Plant,Indoor - Low Light,Rainy Season,29.0,66.6,25.9,2.5,2,10.4,0,89.6,Healthy,16
Spider Plant,Indoor - Medium Light,Dry Season,25.9,37.5,6.1,17.7,1,9.5,1,55.2,Needs Attention,5
Spider Plant,Indoor - Bright Light,Dry Season,36.9,51.6,66.2,13.9,6,4.6,1,3.0,At Risk,5
ZZ Plant,Indoor - Low Light,Dry Season,28.0,83.1,92.0,1.7,5,9.3,0,24.2,At Risk,16
Dracaena,Outdoor - Shade,Dry Season,36.7,56.7,63.0,22.0,2,5.9,0,28.9,At Risk,8
Fiddle Leaf Fig,Indoor - Low Light,Dry Season,19.0,80.3,99.8,26.6,5,4.1,0,0.0,At Risk,9
Monstera,Indoor - Low Light,Dry Season,24.4,68.6,18.8,18.7,5,10.1,1,23.0,At Risk,5
Bamboo Palm,Outdoor - Shade,Dry Season,36.5,87.5,18.9,20.3,3,3.6,1,22.2,At Risk,7
Snake Plant,Outdoor - Full Sun,Dry Season,29.5,27.7,52.7,26.6,4,8.7,0,44.6,At Risk,12
Rubber Plant,Indoor - Medium Light,Dry Season,23.3,35.7,68.9,15.4,3,6.8,1,29.4,At Risk,5
Boston Fern,Outdoor - Full Sun,Rainy Season,33.0,74.0,71.6,20.1,4,3.6,1,22.4,At Risk,5
Fiddle Leaf Fig,Indoor - Low Light,Dry Season,30.9,70.0,87.1,10.3,4,3.7,1,55.8,Needs Attention,5
Spider Plant,Indoor - Medium Light,Rainy Season,33.0,87.7,7.4,1.6,2,3.7,1,46.5,At Risk,9
Boston Fern,Indoor - Low Light,Rainy Season,24.1,79.5,7.2,26.4,2,10.8,1,74.3,Needs Attention,5
Bamboo Palm,Indoor - Medium Light,Rainy Season,24.9,43.0,99.7,22.5,2,7.6,1,49.2,At Risk,7
Philodendron,Indoor - Low Light,Dry Season,24.5,53.4,27.9,17.5,6,11.5,1,0.0,At Risk,5
Snake Plant,Outdoor - Shade,Dry Season,21.5,32.1,56.7,27.9,5,3.0,1,5.9,At Risk,12
Boston Fern,Indoor - Bright Light,Rainy Season,29.6,35.6,67.4,4.0,6,5.0,1,66.0,Needs Attention,5
Orchid,Outdoor - Full Sun,Rainy Season,36.4,33.4,44.6,24.5,6,6.3,1,0.0,At Risk,9
Aloe Vera,Outdoor - Full Sun,Dry Season,36.7,81.3,98.3,15.8,5,5.8,0,31.3,At Risk,16
Monstera,Indoor - Medium Light,Dry Season,18.5,47.2,80.3,26.9,4,11.3,1,40.2,At Risk,5
Dracaena,Outdoor - Full Sun,Dry Season,31.6,50.5,26.4,28.6,1,8.5,1,68.1,Needs Attention,8
Orchid,Indoor - Low Light,Rainy Season,34.0,54.5,67.1,9.6,4,3.1,1,77.5,Healthy,9
Aloe Vera,Outdoor - Full Sun,Dry Season,23.1,86.1,90.6,17.0,7,11.5,1,50.8,Needs Attention,16
Peace Lily,Outdoor - Shade,Dry Season,21.7,53.4,39.2,12.2,3,6.1,1,37.9,At Risk,3
Pothos,Indoor - Low Light,Rainy Season,22.7,72.4,13.2,20.4,4,8.1,1,54.8,Needs Attention,9
Spider Plant,Indoor - Low Light,Rainy Season,30.9,41.3,83.7,15.4,4,6.2,1,55.3,Needs Attention,9
Orchid,Indoor - Medium Light,Rainy Season,24.9,48.3,0.8,25.2,2,9.5,1,57.3,Needs Attention,9
Bamboo Palm,Indoor - Medium Light,Rainy Season,25.7,67.1,4.5,1.6,2,2.9,1,53.4,Needs Attention,7
Snake Plant,Outdoor - Full Sun,Rainy Season,29.4,78.7,27.5,2.3,4,6.9,1,87.9,Healthy,16
Rubber Plant,Outdoor - Shade,Dry Season,26.3,51.5,32.5,23.5,6,10.0,0,0.0,At Risk,5
Boston Fern,Indoor - Bright Light,Dry Season,26.6,69.2,60.9,23.1,1,3.2,0,33.8,At Risk,1
Spider Plant,Indoor - Bright Light,Dry Season,23.2,80.5,86.3,23.2,0,2.9,1,70.0,Needs Attention,9
Bamboo Palm,Outdoor - Full Sun,Dry Season,25.2,55.9,36.4,19.2,0,4.1,0,47.3,At Risk,3
Cactus,Indoor - Bright Light,Dry Season,24.9,36.1,7.9,20.8,5,10.9,1,18.9,At Risk,19
Spider Plant,Outdoor - Shade,Rainy Season,30.0,27.0,27.5,1.0,1,11.4,1,100.0,Healthy,9
Monstera,Indoor - Bright Light,Dry Season,18.7,84.5,35.2,12.3,0,9.3,1,70.5,Needs Attention,9
Cactus,Outdoor - Full Sun,Dry Season,34.8,44.3,66.0,4.1,5,4.3,1,76.4,Healthy,19
Rubber Plant,Indoor - Medium Light,Rainy Season,30.5,41.9,29.2,21.2,0,9.2,1,77.4,Healthy,9
Spider Plant,Outdoor - Full Sun,Rainy Season,31.9,27.6,83.9,13.4,4,6.0,1,56.8,Needs Attention,9
Fiddle Leaf Fig,Indoor - Medium Light,Rainy Season,35.9,57.4,84.2,24.0,4,6.5,1,40.4,At Risk,9
Rubber Plant,Outdoor - Full Sun,Dry Season,33.9,31.4,27.1,25.7,1,7.3,0,60.2,Needs Attention,5
Peace Lily,Outdoor - Shade,Dry Season,20.0,71.0,3.1,26.1,2,6.4,0,33.5,At Risk,3
Aloe Vera,Outdoor - Shade,Dry Season,27.6,60.9,63.2,7.7,5,6.0,1,93.1,Healthy,12
Snake Plant,Indoor - Bright Light,Dry Season,24.7,54.2,57.1,13.1,1,9.2,0,98.9,Healthy,12
Orchid,Indoor - Medium Light,Dry Season,36.6,86.8,36.1,23.3,1,3.1,1,27.3,At Risk,9
Spider Plant,Outdoor - Full Sun,Rainy Season,22.6,61.5,13.4,9.6,2,2.8,0,58.6,Needs Attention,9
Spider Plant,Outdoor - Shade,Dry Season,37.2,52.8,19.7,18.8,1,7.0,1,27.9,At Risk,5
ZZ Plant,Indoor - Low Light,Rainy Season,34.5,63.7,79.4,29.7,4,3.2,1,60.6,Needs Attention,16
Rubber Plant,Outdoor - Shade,Rainy Season,29.2,55.9,79.1,4.0,2,6.0,1,94.2,Healthy,9
Cactus,Indoor - Medium Light,Dry Season,32.1,66.9,37.4,28.5,1,3.1,1,90.0,Healthy,19
Spider Plant,Indoor - Bright Light,Rainy Season,20.1,70.9,50.0,26.1,5,6.0,1,13.7,At Risk,9
Philodendron,Indoor - Low Light,Dry Season,36.8,30.9,2.0,24.2,5,6.4,0,0.0,At Risk,5
Aloe Vera,Indoor - Low Light,Dry Season,20.7,28.7,86.8,8.8,2,2.7,1,98.2,Healthy,12
Pothos,Indoor - Low Light,Dry Season,24.7,46.5,2.0,4.1,1,5.4,1,66.3,Needs Attention,5
Aloe Vera,Indoor - Bright Light,Rainy Season,21.8,51.5,93.7,11.3,4,9.7,1,81.8,Healthy,16
Rubber Plant,Indoor - Medium Light,Dry Season,21.2,36.3,76.1,0.5,3,9.3,1,66.1,Needs Attention,5
Philodendron,Indoor - Low Light,Rainy Season,29.0,48.4,12.6,17.7,5,2.0,1,35.0,At Risk,9
Dracaena,Outdoor - Full Sun,Dry Season,36.2,31.6,4.9,0.2,1,8.8,0,61.8,Needs Attention,8
Philodendron,Indoor - Bright Light,Rainy Season,33.8,77.2,71.6,6.1,3,6.1,1,84.1,Healthy,9
Aloe Vera,Indoor - Low Light,Rainy Season,33.9,30.6,18.3,22.8,7,2.3,1,18.6,At Risk,16
Spider Plant,Indoor - Medium Light,Rainy Season,27.9,33.7,88.6,19.5,1,7.1,1,72.2,Needs Attention,9
Bamboo Palm,Indoor - Low Light,Dry Season,35.5,46.4,58.8,25.4,3,11.0,1,10.9,At Risk,3
Orchid,Outdoor - Shade,Rainy Season,30.4,66.9,2.8,24.9,6,6.8,1,47.8,At Risk,9
Pothos,Outdoor - Shade,Rainy Season,21.6,47.0,41.8,15.3,1,11.9,1,52.1,Needs Attention,9
Rubber Plant,Indoor - Bright Light,Rainy Season,35.2,57.2,13.1,20.9,7,7.4,1,21.0,At Risk,9
Monstera,Outdoor - Shade,Rainy Season,27.3,73.4,61.9,24.1,4,7.7,1,64.9,Needs Attention,9
Cactus,Indoor - Bright Light,Rainy Season,29.1,36.7,46.8,29.0,6,2.5,1,59.0,Needs Attention,23
